date,incident_id,plant,line,severity,status,incident_count,description
2025-01-01,INC-1000,Plant A,Line 1,Medium,Open,5,Minor slip incident reported.
2025-01-02,INC-1001,Plant B,Line 2,Medium,Open,6,Machine maintenance overdue.
2025-01-03,INC-1002,Plant A,Line 1,Critical,Open,4,Machine maintenance overdue.
2025-01-04,INC-1003,Plant C,Line 3,Critical,Open,7,Minor slip incident reported.
2025-01-05,INC-1004,Plant A,Line 3,Medium,Closed,6,Machine maintenance overdue.
2025-01-06,INC-1005,Plant B,Line 1,Medium,Closed,9,Machine maintenance overdue.
2025-01-07,INC-1006,Plant C,Line 1,Low,Open,1,Spill in chemical storage area.
2025-01-08,INC-1007,Plant B,Line 1,High,Closed,9,Near-miss reported during shift change.
2025-01-09,INC-1008,Plant A,Line 3,Critical,Closed,9,Spill in chemical storage area.
2025-01-10,INC-1009,Plant A,Line 3,High,Closed,7,Machine maintenance overdue.
2025-01-11,INC-1010,Plant B,Line 1,Medium,Open,10,Machine maintenance overdue.
2025-01-12,INC-1011,Plant B,Line 3,High,Closed,2,Safety PPE non-compliance observed.
2025-01-13,INC-1012,Plant C,Line 2,High,Open,8,Safety PPE non-compliance observed.
2025-01-14,INC-1013,Plant B,Line 1,Critical,Closed,0,Machine maintenance overdue.
2025-01-15,INC-1014,Plant C,Line 3,Medium,In Progress,10,Near-miss reported during shift change.
2025-01-16,INC-1015,Plant A,Line 2,Medium,Closed,10,Spill in chemical storage area.
2025-01-17,INC-1016,Plant B,Line 3,High,Open,1,Safety PPE non-compliance observed.
2025-01-18,INC-1017,Plant A,Line 3,Medium,Closed,7,Near-miss reported during shift change.
2025-01-19,INC-1018,Plant B,Line 3,Low,In Progress,6,Near-miss reported during shift change.
2025-01-20,INC-1019,Plant B,Line 3,Critical,In Progress,2,Safety PPE non-compliance observed.
2025-01-21,INC-1020,Plant B,Line 1,Low,Open,0,Near-miss reported during shift change.
2025-01-22,INC-1021,Plant C,Line 1,Medium,Closed,1,Minor slip incident reported.
2025-01-23,INC-1022,Plant B,Line 1,Critical,In Progress,10,Safety PPE non-compliance observed.
2025-01-24,INC-1023,Plant B,Line 1,High,In Progress,5,Minor slip incident reported.
2025-01-25,INC-1024,Plant A,Line 2,High,Open,10,Minor slip incident reported.
2025-01-26,INC-1025,Plant A,Line 1,Low,Closed,4,Minor slip incident reported.
2025-01-27,INC-1026,Plant A,Line 2,Critical,In Progress,4,Minor slip incident reported.
2025-01-28,INC-1027,Plant A,Line 2,High,Open,6,Spill in chemical storage area.
2025-01-29,INC-1028,Plant A,Line 1,High,Closed,6,Minor slip incident reported.
2025-01-30,INC-1029,Plant B,Line 1,High,Open,10,Minor slip incident reported.
2025-01-31,INC-1030,Plant C,Line 1,Critical,In Progress,1,Minor slip incident reported.
2025-02-01,INC-1031,Plant A,Line 1,Critical,Open,9,Machine maintenance overdue.
2025-02-02,INC-1032,Plant C,Line 1,Critical,In Progress,4,Machine maintenance overdue.
2025-02-03,INC-1033,Plant C,Line 3,Low,Closed,2,Minor slip incident reported.
2025-02-04,INC-1034,Plant B,Line 1,Critical,Open,9,Safety PPE non-compliance observed.
2025-02-05,INC-1035,Plant C,Line 3,High,In Progress,0,Minor slip incident reported.
2025-02-06,INC-1036,Plant A,Line 3,Critical,Closed,10,Machine maintenance overdue.
2025-02-07,INC-1037,Plant A,Line 2,Medium,In Progress,9,Machine maintenance overdue.
2025-02-08,INC-1038,Plant C,Line 3,Low,In Progress,8,Near-miss reported during shift change.
2025-02-09,INC-1039,Plant C,Line 1,Critical,Closed,6,Spill in chemical storage area.
2025-02-10,INC-1040,Plant A,Line 1,Low,Closed,5,Safety PPE non-compliance observed.
